"Stratum","Transect","FID","SA","ID","Cruise","LOG","longitude","latitude","Mat_Perc","Imm_Perc","multiplier","MAT","IMM"
"91","T26","T26_99",324.68,"NLHERAS2019_495.0","NLHERAS2019","495.0",-1.641,57.909,0.962727467804637,0.0372725321953633,24313.3364547982,7.59982269528978,0.294231384854102
"91","T27","T27_131",0,"NLHERAS2019_656.7","NLHERAS2019","656.7",1.975,57.649,0.877266813782142,0.122733186217858,24313.3364547982,0,0
"91","T27","T27_132",1.72,"NLHERAS2019_660.0","NLHERAS2019","660.0",1.873,57.652,0.877266813782142,0.122733186217858,24313.3364547982,0.0366863671110761,0.00513257159117678
"91","T27","T27_133",0,"NLHERAS2019_665.0","NLHERAS2019","665.0",1.718,57.652,0.877266813782142,0.122733186217858,24313.3364547982,0,0
"91","T27","T27_134",9.75,"NLHERAS2019_670.0","NLHERAS2019","670.0",1.563,57.652,0.877266813782142,0.122733186217858,24313.3364547982,0.207960511240112,0.0290945191941707
"91","T27","T27_135",0,"NLHERAS2019_675.0","NLHERAS2019","675.0",1.409,57.645,0.877266813782142,0.122733186217858,24313.3364547982,0,0
"91","T27","T27_136",0,"NLHERAS2019_680.0","NLHERAS2019","680.0",1.256,57.653,0.877266813782142,0.122733186217858,24313.3364547982,0,0
"91","T27","T27_137",0.02,"NLHERAS2019_685.0","NLHERAS2019","685.0",1.101,57.652,0.877266813782142,0.122733186217858,24313.3364547982,0.000426585664082281,5.96810650136835e-05
"91","T27","T27_138",669.83,"NLHERAS2019_690.0","NLHERAS2019","690.0",0.946,57.656,0.877266813782142,0.122733186217858,24313.3364547982,14.2869937686117,1.99880838890578
"91","T27","T27_139",19.04,"NLHERAS2019_695.0","NLHERAS2019","695.0",0.791,57.655,0.877266813782142,0.122733186217858,24313.3364547982,0.406109552206331,0.0568163738930267
"91","T27","T27_140",34.28,"NLHERAS2019_700.0","NLHERAS2019","700.0",0.636,57.656,0.877266813782142,0.122733186217858,24313.3364547982,0.731167828237029,0.102293345433454
"91","T27","T27_143",568.065,"NLHERAS2019_715.2","NLHERAS2019","715.2",0.515,57.657,0.877266813782142,0.122733186217858,24313.3364547982,12.116419263345,1.69513620984991
"91","T27","T27_144",2211.58,"NLHERAS2019_720.0","NLHERAS2019","720.0",0.366,57.657,0.877266813782142,0.122733186217858,24313.3364547982,47.1714161485545,6.59947248814811
"91","T27","T27_145",2145.42,"NLHERAS2019_725.0","NLHERAS2019","725.0",0.21,57.657,0.877266813782142,0.122733186217858,24313.3364547982,45.7602707717703,6.40204752508284
"91","T27","T27_148",724.033,"NLHERAS2019_741.3","NLHERAS2019","741.3",0.057,57.654,0.877266813782142,0.122733186217858,24313.3364547982,15.4431049061243,2.16055302725261
"91","T27","T27_149",626.56,"NLHERAS2019_745.0","NLHERAS2019","745.0",-0.058,57.653,0.877266813782142,0.122733186217858,24313.3364547982,13.3640756843697,1.86968840474868
"91","T27","T27_150",466.84,"NLHERAS2019_750.0","NLHERAS2019","750.0",-0.213,57.651,0.877266813782142,0.122733186217858,24313.3364547982,9.95736257100859,1.3930754195494
"91","T27","T27_151",104.24,"NLHERAS2019_755.0","NLHERAS2019","755.0",-0.368,57.652,0.877266813782142,0.122733186217858,24313.3364547982,2.22336448119685,0.311057710851318
"91","T27","T27_152",90.19,"NLHERAS2019_760.0","NLHERAS2019","760.0",-0.523,57.654,0.877266813782142,0.122733186217858,24313.3364547982,1.92368805217904,0.269131762679206
"91","T27","T27_153",55.62,"NLHERAS2019_765.0","NLHERAS2019","765.0",-0.678,57.654,0.877266813782142,0.122733186217858,24313.3364547982,1.18633473181282,0.165973041803054
"91","T21","T21_64",0,"0919S_320.8","0919S","320.8",-2.09,59.16,0.989814245755144,0.0101857542448556,24313.3364547982,0,0
"91","T21","T21_65",0,"0919S_325.8","0919S","325.8",-1.94,59.16,0.989814245755144,0.0101857542448556,24313.3364547982,0,0
"91","T25","T25_60",0,"NLHERAS2019_300.0","NLHERAS2019","300.0",1.848,58.168,0.994862411563695,0.00513758843630537,24313.3364547982,0,0
"91","T22","T22_46",12.9958,"0919S_230.3","0919S","230.3",-0.19,58.91,0.980118613929307,0.0198813860706928,24313.3364547982,0.309689311333729,0.00628194656553777
"91","T22","T22_47",527.52157,"0919S_235.3","0919S","235.3",-0.35,58.91,0.980118613929307,0.0198813860706928,24313.3364547982,12.5708145498536,0.254994868719786
"91","T22","T22_48",311.860148,"0919S_240.3","0919S","240.3",-0.5,58.91,0.980118613929307,0.0198813860706928,24313.3364547982,7.43161286466048,0.150747840506679
"91","T22","T22_49",299.4282,"0919S_245.2","0919S","245.2",-0.66,58.91,0.980118613929307,0.0198813860706928,24313.3364547982,7.13536012033873,0.144738450315883
"91","T22","T22_50",277.07897,"0919S_250.2","0919S","250.2",-0.81,58.91,0.980118613929307,0.0198813860706928,24313.3364547982,6.60277900586027,0.133935216298669
"91","T22","T22_51",23.55716,"0919S_255.2","0919S","255.2",-0.96,58.91,0.980118613929307,0.0198813860706928,24313.3364547982,0.561366030361999,0.0113871266375155
"91","T22","T22_52",1562.1563,"0919S_260.2","0919S","260.2",-1.11,58.91,0.980118613929307,0.0198813860706928,24313.3364547982,37.2261121856789,0.755119531203789
