ACLON,ACLAT,HER,STRATUM,CRUISE,Country
6.27381,57.49377,52.90225,151,26D4201806,DK
6.27381,57.49377,52.90225,151,26D4201806,DK
6.272761,57.41019,65.92851,151,26D4201806,DK
6.272761,57.41019,65.92851,151,26D4201806,DK
6.268833,57.32644,40.48463,151,26D4201806,DK
6.268833,57.32644,40.48463,151,26D4201806,DK
6.26532,57.24264,25.93599,151,26D4201806,DK
6.26532,57.24264,25.93599,151,26D4201806,DK
6.263411,57.11934,25.71185,151,26D4201806,DK
6.263411,57.11934,25.71185,151,26D4201806,DK
6.265061,57.03566,17.97341,151,26D4201806,DK
6.265061,57.03566,17.97341,151,26D4201806,DK
6.268948,56.952,47.9311,151,26D4201806,DK
6.268948,56.952,47.9311,151,26D4201806,DK
6.267718,56.8683,24.70468,151,26D4201806,DK
6.267718,56.8683,24.70468,151,26D4201806,DK
6.269762,56.78459,49.30128,151,26D4201806,DK
6.269762,56.78459,49.30128,151,26D4201806,DK
6.272271,56.70082,33.73961,151,26D4201806,DK
6.272271,56.70082,33.73961,151,26D4201806,DK
6.275153,56.61711,75.31824,151,26D4201806,DK
6.275153,56.61711,75.31824,151,26D4201806,DK
6.27424,56.53348,99.99744,151,26D4201806,DK
6.27424,56.53348,99.99744,151,26D4201806,DK
6.267941,56.33407,16.50668,151,26D4201806,DK
6.267941,56.33407,16.50668,151,26D4201806,DK
6.26652,56.30145,40.32185,151,26D4201806,DK
6.26652,56.30145,40.32185,151,26D4201806,DK
6.264436,56.21777,8.86872,151,26D4201806,DK
6.264436,56.21777,8.86872,151,26D4201806,DK
6.257216,56.08759,41.22967,151,26D4201806,DK
6.257216,56.08759,41.22967,151,26D4201806,DK
6.257542,56.05997,78.6766,151,26D4201806,DK
6.257542,56.05997,78.6766,151,26D4201806,DK
-8.71063,55.26517,0,5,45CE2018WESPAS_2,IRL
-8.71063,55.26517,0,5,45CE2018WESPAS_2,IRL
-8.856879,55.2654,0,5,45CE2018WESPAS_2,IRL
-8.856879,55.2654,0,5,45CE2018WESPAS_2,IRL
-9.003073,55.2653,0,5,45CE2018WESPAS_2,IRL
-9.003073,55.2653,0,5,45CE2018WESPAS_2,IRL
-9.149248,55.26598,0,5,45CE2018WESPAS_2,IRL
-9.149248,55.26598,0,5,45CE2018WESPAS_2,IRL
-9.295401,55.26614,0,5,45CE2018WESPAS_2,IRL
-9.295401,55.26614,0,5,45CE2018WESPAS_2,IRL
-9.441497,55.26669,0,5,45CE2018WESPAS_2,IRL
-9.441497,55.26669,0,5,45CE2018WESPAS_2,IRL
-9.58773,55.26659,0,5,45CE2018WESPAS_2,IRL
-9.58773,55.26659,0,5,45CE2018WESPAS_2,IRL
-9.725726,55.26633,0,5,45CE2018WESPAS_2,IRL
-9.725726,55.26633,0,5,45CE2018WESPAS_2,IRL
-8.593759,55.26525,0,5,45CE2018WESPAS_2,IRL
-8.593759,55.26525,0,5,45CE2018WESPAS_2,IRL
-9.871955,55.26658,0,5,45CE2018WESPAS_2,IRL
-9.871955,55.26658,0,5,45CE2018WESPAS_2,IRL
12.43939,56.63493,23.8196,21,26D4201806,DK
12.43939,56.63493,23.8196,21,26D4201806,DK
12.35134,56.63139,31.36915,21,26D4201806,DK
12.35134,56.63139,31.36915,21,26D4201806,DK
12.02665,56.63035,23.11002,21,26D4201806,DK
12.02665,56.63035,23.11002,21,26D4201806,DK
11.99616,56.63061,98.8658,21,26D4201806,DK
11.99616,56.63061,98.8658,21,26D4201806,DK
11.78334,56.63265,38.5181,21,26D4201806,DK
11.78334,56.63265,38.5181,21,26D4201806,DK
11.51846,56.63178,0,21,26D4201806,DK
11.51846,56.63178,0,21,26D4201806,DK
5.64027,57.13905,0,141a,NA,NOR
5.64027,57.13905,0,141a,NA,NOR
5.48761,57.143597,0,141a,NA,NOR
5.48761,57.143597,0,141a,NA,NOR
5.334825,57.147427,13.476236,141a,NA,NOR
5.334825,57.147427,13.476236,141a,NA,NOR
5.182045,57.150177,14.916202,141a,NA,NOR
5.182045,57.150177,14.916202,141a,NA,NOR
5.0292315,57.15382,65.185536,141a,NA,NOR
5.0292315,57.15382,65.185536,141a,NA,NOR
4.87647,57.15686,157.780384,141a,NA,NOR
4.87647,57.15686,157.780384,141a,NA,NOR
4.7236366,57.159023,0,141a,NA,NOR
4.7236366,57.159023,0,141a,NA,NOR
4.57056,57.159763,17.905513,141a,NA,NOR
4.57056,57.159763,17.905513,141a,NA,NOR
4.4177217,57.161022,484.036471,141a,NA,NOR
4.4177217,57.161022,484.036471,141a,NA,NOR
4.264837,57.158443,220.183085,141a,NA,NOR
4.264837,57.158443,220.183085,141a,NA,NOR
4.1119633,57.15518,25.010494,141a,NA,NOR
4.1119633,57.15518,25.010494,141a,NA,NOR
3.9590983,57.153465,49.947385,141a,NA,NOR
3.9590983,57.153465,49.947385,141a,NA,NOR
3.8060818,57.153694,14.982412,141a,NA,NOR
3.8060818,57.153694,14.982412,141a,NA,NOR
3.65299,57.153503,45.01139,141a,NA,NOR
3.65299,57.153503,45.01139,141a,NA,NOR
3.50006,57.154785,9.994093,141a,NA,NOR
3.50006,57.154785,9.994093,141a,NA,NOR
3.346895,57.155235,9.880935,141a,NA,NOR
3.346895,57.155235,9.880935,141a,NA,NOR
3.1954017,57.160988,9.997406,141a,NA,NOR
3.1954017,57.160988,9.997406,141a,NA,NOR
3.0429084,57.157837,7.993665,141a,NA,NOR
3.0429084,57.157837,7.993665,141a,NA,NOR
2.8904,57.151165,3.007964,141a,NA,NOR
2.8904,57.151165,3.007964,141a,NA,NOR
2.7377634,57.146122,25.307972,141a,NA,NOR
2.7377634,57.146122,25.307972,141a,NA,NOR
2.5930133,57.144028,46.602855,141a,NA,NOR
2.5930133,57.144028,46.602855,141a,NA,NOR
2.5353134,57.14025,5.002116,141a,NA,NOR
2.5353134,57.14025,5.002116,141a,NA,NOR
2.3832967,57.130848,0,141a,NA,NOR
2.3832967,57.130848,0,141a,NA,NOR
2.2314634,57.129913,0,141a,NA,NOR
2.2314634,57.129913,0,141a,NA,NOR
2.0808017,57.143864,0,141a,NA,NOR
2.0808017,57.143864,0,141a,NA,NOR
6.00124,57.13908,9.308414,141a,NA,NOR
6.00124,57.13908,9.308414,141a,NA,NOR
5.9223766,57.133175,0,141a,NA,NOR
5.9223766,57.133175,0,141a,NA,NOR
5.7928267,57.137638,501.06498,141a,NA,NOR
5.7928267,57.137638,501.06498,141a,NA,NOR
-5.44,59.64,0,1,0918S,SCO
-5.44,59.64,0,1,0918S,SCO
-5.28,59.64,26.95182,1,0918S,SCO
-5.28,59.64,26.95182,1,0918S,SCO
-5.09,59.64,0,1,0918S,SCO
-5.09,59.64,0,1,0918S,SCO
-5.61,59.64,0,1,0918S,SCO
-5.61,59.64,0,1,0918S,SCO
-4.76,59.64,372.54188,1,0918S,SCO
-4.76,59.64,372.54188,1,0918S,SCO
-4.6,59.64,123.71002,1,0918S,SCO
-4.6,59.64,123.71002,1,0918S,SCO
-4.43,59.64,242.5484,1,0918S,SCO
-4.43,59.64,242.5484,1,0918S,SCO
-4.92,59.64,37.55817,1,0918S,SCO
-4.92,59.64,37.55817,1,0918S,SCO
-6.16,59.64,0,1,0918S,SCO
-6.16,59.64,0,1,0918S,SCO
-6.1,59.64,0,1,0918S,SCO
-6.1,59.64,0,1,0918S,SCO
-5.94,59.64,0,1,0918S,SCO
-5.94,59.64,0,1,0918S,SCO
-5.77,59.64,0,1,0918S,SCO
-5.77,59.64,0,1,0918S,SCO
-4.26,59.64,0,1,0918S,SCO
-4.26,59.64,0,1,0918S,SCO
-4.1,59.64,0,1,0918S,SCO
-4.1,59.64,0,1,0918S,SCO
7.336715,57.81189,0,152,26D4201806,DK
7.336715,57.81189,0,152,26D4201806,DK
7.337862,57.67273,48.42756,152,26D4201806,DK
7.337862,57.67273,48.42756,152,26D4201806,DK
7.338983,57.65636,311.24601,152,26D4201806,DK
7.338983,57.65636,311.24601,152,26D4201806,DK
7.344556,57.57273,663.7023,152,26D4201806,DK
7.344556,57.57273,663.7023,152,26D4201806,DK
-9.548028,55.01778,0,5,45CE2018WESPAS_2,IRL
-9.548028,55.01778,0,5,45CE2018WESPAS_2,IRL
-9.402816,55.01622,0,5,45CE2018WESPAS_2,IRL
-9.402816,55.01622,0,5,45CE2018WESPAS_2,IRL
-9.838549,55.01591,0,5,45CE2018WESPAS_2,IRL
-9.838549,55.01591,0,5,45CE2018WESPAS_2,IRL
-9.693244,55.01795,0,5,45CE2018WESPAS_2,IRL
-9.693244,55.01795,0,5,45CE2018WESPAS_2,IRL
-8.967328,55.01643,0,5,45CE2018WESPAS_2,IRL
-8.967328,55.01643,0,5,45CE2018WESPAS_2,IRL
