"strata","length","age","maturity","stock","number","biomass_g","meanW_g"
111,29,4,"MAT","her-47d3",9292074.7983,2192929652.3988,236
121,29,4,"MAT","her-47d3",5687869.8636,1244221532.6625,218.75
111,29.5,4,"MAT","her-47d3",6673902.56,1629767005.152,244.2
121,29.5,4,"MAT","her-47d3",2260968.7575,535849595.5275,237
111,31.5,4,"MAT","her-47d3",1372605.9399,403546146.3306,294
91,24.5,5,"MAT","her-47d3",5120796.2432,691307492.832,135
111,24.5,5,"MAT","her-47d3",13001817.9222,1939437840.0615,149.166666666667
91,25,5,"MAT","her-47d3",27084506.7,3801310515.345,140.35
111,25,5,"MAT","her-47d3",24039522.4367,3530707924.3321,146.870967741935
121,25,5,"MAT","her-47d3",26007406.758,3646512189.648,140.210526315789
81,25.5,5,"MAT","her-47d3",2098.6538,268627.6864,128
91,25.5,5,"MAT","her-47d3",69262588.6512,10381348890.0687,149.883928571429
111,25.5,5,"MAT","her-47d3",33634109.5024,5047771749.7944,150.078947368421
121,25.5,5,"MAT","her-47d3",7894016.5135,1201104974.131,152.153846153846
41,26,5,"MAT","her-47d3",156197.734,19524716.75,125
91,26,5,"MAT","her-47d3",154989648.7351,23920261178.0164,154.334572490706
111,26,5,"MAT","her-47d3",152385258.2278,25393259115.0446,166.638554216867
121,26,5,"MAT","her-47d3",57131737.8399,9305782163.472,162.882882882883
152,26,5,"MAT","her-47d3",238204.4928,29775561.6,125
91,26.5,5,"MAT","her-47d3",136440025.9822,22839717822.1584,167.397489539749
111,26.5,5,"MAT","her-47d3",230616322.3008,39360393935.4528,170.674796747967
121,26.5,5,"MAT","her-47d3",79324897.6164,13286436662.3469,167.493902439024
41,27,5,"MAT","her-47d3",472868.3658,69669272.5612,147.333333333333
91,27,5,"MAT","her-47d3",96803911.0188,17014678222.3446,175.764367816092
111,27,5,"MAT","her-47d3",174987848.3355,32788965976.809,187.378531073446
121,27,5,"MAT","her-47d3",48766227.714,8772502518.774,179.888888888889
151,27,5,"MAT","her-47d3",329253.2061,47412461.6784,144
152,27,5,"MAT","her-47d3",995052.9224,145775253.1316,146.5
41,27.5,5,"MAT","her-47d3",1570334.0841,312496482.7359,199
91,27.5,5,"MAT","her-47d3",116428268.2108,21544417017.0866,185.044554455446
111,27.5,5,"MAT","her-47d3",226463097.6804,43511937096.7848,192.13698630137
121,27.5,5,"MAT","her-47d3",53703378.2663,9677538864.0413,180.203539823009
91,28,5,"MAT","her-47d3",41645363.085,8446296601.98,202.814814814815
111,28,5,"MAT","her-47d3",255226621.1184,53520786127.583,209.699074074074
