strata,length,age,maturity,stock,number,biomass_g,meanW_g
31,20,2,IMM,her-3a22,704874.7656,44407110.23,63
31,20.5,2,IMM,her-3a22,21832930.74,1331418902,60.98214286
31,21,2,IMM,her-3a22,17642155.35,1204478061,68.27272727
31,21.5,2,IMM,her-3a22,11438230.51,854347832.3,74.69230769
31,22,2,IMM,her-3a22,8981159.254,741394696.4,82.55
31,22.5,2,IMM,her-3a22,6979002.458,580653004.5,83.2
31,23,2,IMM,her-3a22,1610472.236,126019452.5,78.25
31,23.5,2,IMM,her-3a22,1246063.581,125852421.7,101
31,24,2,IMM,her-3a22,714335.3258,80362724.15,112.5
31,25,2,IMM,her-3a22,261921.9017,29597174.89,113
31,20,3,IMM,her-3a22,704874.7656,36653487.81,52
31,21,3,IMM,her-3a22,1603832.305,99437602.9,62
31,21.5,3,IMM,her-3a22,3959387.483,267918553,67.66666667
31,22,3,IMM,her-3a22,11226449.07,844678027.8,75.24
31,22.5,3,IMM,her-3a22,6513735.627,540174790.2,82.92857143
31,23,3,IMM,her-3a22,3220944.473,283845731.7,88.125
31,23.5,3,IMM,her-3a22,1246063.581,122114231,98
31,24,3,IMM,her-3a22,357167.6629,37859772.27,106
31,24.5,3,IMM,her-3a22,465022.2408,46502224.08,100
31,22.5,4,IMM,her-3a22,465266.8305,37221346.44,80
31,23.5,4,IMM,her-3a22,415354.5271,38627971.02,93
31,24.5,4,IMM,her-3a22,465022.2408,53942579.93,116
31,20.5,2,MAT,her-3a22,389873.7633,25731668.38,66
31,21,2,MAT,her-3a22,400958.0762,28468023.41,71
31,21,3,MAT,her-3a22,4410538.838,250999755.7,56.90909091
31,23.5,4,MAT,her-3a22,415354.5271,40704743.66,98
31,24,4,MAT,her-3a22,357167.6629,36073933.95,101
31,17,1,-,her-47d3,3226176.968,112916193.9,35
31,17.5,1,-,her-47d3,24581472.24,991262159.8,40.3255814
31,18,1,-,her-47d3,27775772.43,1158249710,41.7
31,18.5,1,-,her-47d3,49560563.55,2223993193,44.8742515
31,19,1,-,her-47d3,14577481.84,744085377.3,51.04347826
31,19.5,1,-,her-47d3,3331792.103,184914461.7,55.5
31,17,2,-,her-47d3,2509248.753,92842203.84,37
31,18,2,-,her-47d3,7777216.28,334420300.1,43
31,19,2,-,her-47d3,4753526.687,247183387.7,52
31,8.5,0,IMM,her-47d3,3312677.47,11378326.96,3.434782609
31,9,0,IMM,her-47d3,4320883.656,15939259.71,3.688888889
31,9.5,0,IMM,her-47d3,864176.7312,3456706.925,4
31,16,0,IMM,her-47d3,366292.4675,8058434.285,22
31,15.5,1,IMM,her-47d3,536469.8744,13948216.73,26
31,16,1,IMM,her-47d3,366292.4675,10988774.03,30
31,16.5,1,IMM,her-47d3,6253145.541,200993963.8,32.14285714
31,17,1,IMM,her-47d3,22941702.88,842032188.5,36.703125
31,17.5,1,IMM,her-47d3,44017985.18,1750715320,39.77272727
31,18,1,IMM,her-47d3,72494766.04,3098665172,42.74329502
31,18.5,1,IMM,her-47d3,85469714.38,4039631084,47.26388889
31,19,1,IMM,her-47d3,78591641.22,4066800531,51.74596774
31,19.5,1,IMM,her-47d3,75298501.53,4212051577,55.9380531
